Video ID,Channel Title,Channel ID
TDYp8V5YJ9k,Jesser,UCQIUhhcmXsu6cN6n3y9-Pww
r5HXPS3cky8,Bleacher Report,UC9-OpMMVoNP5o10_Iyq7Ndw
xjPi6IcSH_Q,NBA,UCWJ2lWNubArHWmf3FIHbfcQ
Iy18-aQI6Co,Hooked,UCX7-9i_uq-HjLHbRJiMwEng
5rd_WwD_aOQ,devinsupertramp,UCwgURKfUA7e0Z7_qE3TvBFQ
n1pf4vOkGKM,AndrewSchrock,UCDlMf3zbdoWYzTwQsaD0fRA
jZY5cZWGWKE,Olympic,UCTl3QQTvqHFjurroKxexy2Q
nuiPr66rCcw,ILoveBasketballTV,UCgP1mu1UXba9r2owhCHo--g
GscJVHZY8N0,Cocomelon - Nursery Rhymes,UCbCmjCuTUZos6Inko4u57UQ
qYNHPInzqko,Cocomelon - Nursery Rhymes,UCbCmjCuTUZos6Inko4u57UQ
NmF3fBLfV9w,Magnet World,UCU0SGO9-HhqZfsB9v8sbJ5w
mjjksztJKbw,NBA,UCWJ2lWNubArHWmf3FIHbfcQ
uvWZtHWLrsk,Tristan Jass,UCxEUEkp5y728nY57wg8z3dw
kusLeZlVQNk,Tristan Jass,UCxEUEkp5y728nY57wg8z3dw
qA0tR_Lwhq8,One Sports,UCXDG9ue-emCN8Ad3h7lERqQ
m7eOf-BSskk,Professor Live,UC5zJwsFtEs9WYe3A76p7xIA
TcGHKrh8J8I,TopMovieClips,UClVbhSLxwws-KSsPKz135bw
8ETAFSQpeIg,Tristan Jass,UCxEUEkp5y728nY57wg8z3dw
RHAYIczzkoQ,How Ridiculous,UC5f5IV0Bf79YLp_p9nfInRA
ppZQHP2eF8Q,Whistle,UCZFhj_r-MjoPCFVUo3E1ZRg
2CXtbafZT0c,NBADej,UCEejmJSGYveNRZNu2MnKq4A
xSXY2ClEdjQ,Professor Live,UC5zJwsFtEs9WYe3A76p7xIA
tKmzQI1BX3A,NBA,UCWJ2lWNubArHWmf3FIHbfcQ
-PaaJAUMHDw,Guardian Sport,UCwD9E_QNwFwrQC7OnPnrg2Q
T70OmdvjR4A,Tristan Jass,UCxEUEkp5y728nY57wg8z3dw
eFcYq4NNpo4,FIBA,UCtInrnU3QbWqFGsdKT1GZtg
NgDG0xDE1Pk,Morphle TV,UC5Ti4_DVp7LW34PjEwB13Xg
5Q1HYRyagqw,Videogyan Kids Shows - Cartoon Animation For Kids,UCCc1DMB-AcOssKJ7KweLXBg
ngm91f2DG1E,QrewTV,UClvS4HJrKp3eLT62pNgUJNw
saB-0f8_brE,WWE,UCJ5v_MCY6GNUBTO8-D3XoAg
eeeTDYRbn_E,Best Sports Vines BR,UC47uuip6M3OxwIsQggDMysw
L5pfHVFuFo0,Tristan Jass,UCxEUEkp5y728nY57wg8z3dw
cLtJ-F0Fj9A,Talking Tom and Friends,UCDCNmuaOXOo25Yn4mbMHhhQ
2oPQ_a2O2sU,Tristan Jass,UCxEUEkp5y728nY57wg8z3dw
gdtetu4nnZc,FIBA,UCtInrnU3QbWqFGsdKT1GZtg
YYUy4pF2eto,Savage Brick Sports,UCJka5SDh36_N4pjJd69efkg
oSB3Xc3Z1UU,DJ's Clubhouse,UCqONv8hrKKTd0ELJcxOVNJQ
5j2_6LMdrBQ,ShotMechanics,UCqjq2Zq6QUwpDR45Ns89YDw
oKbUSJr1A64,Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ
m7D-67xqwYE,Professor Live,UC5zJwsFtEs9WYe3A76p7xIA
1WEVROqvjH8,Tristan Jass,UCxEUEkp5y728nY57wg8z3dw
frf4scGq-aw,Caleb Nash Feemster,UC9N_6QIniNssFFZMva2GdTQ
H4yL3Q78J_A,Sky Sport Next,UCaOvfE-4N9pm_36a2NYB8yw
Ss-P4qLLUyk,Creezy,UCMJUkbZEHKF7KY8sA0zeaAg
vLywLCK3juY,JAHRONMON,UCv-1s-XXGHaCstsvn0-VLHw
ABWONzqZSEU,MarcelasHoward,UC_z1H488Ijor3teosC1cdEw
jZ9WEBGZ2zU,Cancel That,UC5KgkZr_qfJvqQ2Ya_WaX-g
9b4XDzs08NA,Hype Streetball,UCMvGr6nz60GClNc0oWZFuDA
trNqJ7uPChQ,Buzzer Beater,UC3fN23Rco271y3I9Ehq8d5Q
RgBJvIEXYtQ,MAGENTA SPORT,UChr7ZXDFiPOEl543HM4Aj8g
ffE2rv8OoVM,KingSwish,UCeFlXzfdGnMWSqd_6vzXmEA
OADPBGwESJ0,Golden Hoops,UCoDfZzwJNFJ2lVgF41tUX0A
no4xQ2yS_7g,ESPN,UCiWLfSweyRNmLpgEHekhoAg
37mgEJQ1n80,ProjectNasaska,UCsZNBOK2uffGXnQX4U_Hz_g
en4Z2uxoBik,Chris Smoove,UCnzbVkknmqhRqUKg7RDTDeg
MloBl_HuN6k,ESPN,UCiWLfSweyRNmLpgEHekhoAg
N7x2za7GKCM,ESPN,UCiWLfSweyRNmLpgEHekhoAg
PYnOUW40KpI,Drafteados - NBA en español,UCTJNmeP0HiOU4-qOMNVNoGA
cBMI-n7H1v4,ESPN,UCiWLfSweyRNmLpgEHekhoAg
5FBDXWLAyQU,Mike Korzemba,UCp3dgMf1OUP2XqOpyOY2bzQ
ivLwR-WuEWk,Nonstop Sports,UCJVU1UGN-YtwnAartLDdpIw
F58NoyrlaLw,NBA SKET,UCXcj2AXDY1M9fdW1Ap-Zaow
EfCWf5eJUok,ESPN,UCiWLfSweyRNmLpgEHekhoAg
eKqf5-8OJBA,이스타TV,UCn9mJ4htO64-1osMWYu9k5Q
BBZQ26OXitU,ESPN,UCiWLfSweyRNmLpgEHekhoAg
nAXg3y01apE,CashNastyPlays,UCG5_ENrBMOXHDL1LM6_WzLg
2XAFkJPSTD4,KingSwish,UCeFlXzfdGnMWSqd_6vzXmEA
0UnsdCwGnnA,OprahSide,UCLegnNLfivOIBlM97QUwefQ
ZwhPzg0Oxy4,NBA on ESPN,UCVSSpcmZD2PwPBqb8yKQKBA
qOA_RrL7Mgo,JHAYZONE TV,UC42cGS82_LBB0IO7Elz2_nQ
UthhvVihzZU,BraZy,UCUCfpsXkgfx9rdkYXNAgDSQ
Y8dnNe_cNO0,KingSwish,UCeFlXzfdGnMWSqd_6vzXmEA
KU1z5sR_bKA,NBA,UCWJ2lWNubArHWmf3FIHbfcQ
HjAbwbsbDZ8,NBA on ESPN,UCVSSpcmZD2PwPBqb8yKQKBA
iH1ljtx-uj4,FrancoLNG,UCDBcfhQFTsVTqV3MvpNm9rA
cHyd-akGtgY,The Herd with Colin Cowherd,UCFDidMd82mpDkKijLUqHp7A
AUDfQpK_g8o,BraZy,UCUCfpsXkgfx9rdkYXNAgDSQ
HG4DO7ky4G0,demas6Basket,UC0u2Eqlzf5Et51CL62mmAFA
1NKshlCYFSc,ESPN,UCiWLfSweyRNmLpgEHekhoAg
3dlQ1kEIfOc,KingSwish,UCeFlXzfdGnMWSqd_6vzXmEA
eyqSQQz6yf8,Golden Hoops,UCoDfZzwJNFJ2lVgF41tUX0A
7Oj7IAJ7B_0,KingSwish,UCeFlXzfdGnMWSqd_6vzXmEA
fYubUoI7iK0,"Jotaplays - NBA 2K20, NFL 20 e MAIS!",UCzb4lGM3uMaZb1wV5oeSCYA
HLiN4Cp3MSE,BBALLBREAKDOWN,UCSpvjDk06HLxBaw8sZw7SkA
gkdsW_0yQNg,ESPN,UCiWLfSweyRNmLpgEHekhoAg
bIsMsJyhX8A,ESPN,UCiWLfSweyRNmLpgEHekhoAg
Z4ji-KQVyrw,ESPN,UCiWLfSweyRNmLpgEHekhoAg
Myk4Qvf16xs,Golden Hoops,UCoDfZzwJNFJ2lVgF41tUX0A
tktWEX2KB1M,SpiderGaming,UCruIYrS8YkHYkxU0LzmvcOQ
IfUK1tAGX6A,Pardon The Interruption,UC4aJtqYiDKJ5gG3UuYJb9aQ
ph5tEcdYH0o,HoopsTube,UCb66cfn-rdXPZXhPQddwpMw
vaVuEyU-lzM,House of Highlights,UCqQo7ewe87aYAe7ub5UqXMw
a6OvjDcXi8I,KingSwish,UCeFlXzfdGnMWSqd_6vzXmEA
UpCqAw4FtuY,NBA,UCWJ2lWNubArHWmf3FIHbfcQ
0UKsPwpvpLk,BraZy,UCUCfpsXkgfx9rdkYXNAgDSQ
84fa5xVyeJg,ESPN,UCiWLfSweyRNmLpgEHekhoAg
mjjksztJKbw,NBA,UCWJ2lWNubArHWmf3FIHbfcQ
xxn4xVdS2-Q,Chris Smoove,UCnzbVkknmqhRqUKg7RDTDeg
AsMGCl5hFSU,CliveNBAParody,UCSGkhjEMPDq0iPb0JHb_w5Q
OdGb0_QepZo,ESPN,UCiWLfSweyRNmLpgEHekhoAg
